OID_,FID_Clip_layer_neg_buffer,FID_gbif_occurrence,gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order_,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
12,1,4413,272185619.000000000000000,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS91400021,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,Brachyramphus marmoratus,,SPECIES,"Brachyramphus marmoratus (J.F.Gmelin, 1789)",Brachyramphus marmoratus,,US,Rancho Del Oso - Owl WA 1,California,PRESENT,2,e2e717bf-551a-4917-bdc9-4fa0f342c530,37.132378000000003,-122.267669999999995,,,,,,,5/5/10,5,5,2010,5229281,5229281,HUMAN_OBSERVATION,CLO,EBIRD,OBS91400021,,,,CC_BY_4_0,,obsr90708,,,2024-01-24T20:23:27.285Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
13,1,4696,271113764.000000000000000,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS73098305,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,Brachyramphus marmoratus,,SPECIES,"Brachyramphus marmoratus (J.F.Gmelin, 1789)",Brachyramphus marmoratus,,US,Rancho Del Oso - Owl WA 1,California,PRESENT,2,e2e717bf-551a-4917-bdc9-4fa0f342c530,37.132378000000003,-122.267669999999995,,,,,,,7/24/09,24,7,2009,5229281,5229281,HUMAN_OBSERVATION,CLO,EBIRD,OBS73098305,,,,CC_BY_4_0,,obsr90708,,,2024-01-24T21:07:30.932Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
14,1,4035,277551897.000000000000000,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS73098306,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,Brachyramphus marmoratus,,SPECIES,"Brachyramphus marmoratus (J.F.Gmelin, 1789)",Brachyramphus marmoratus,,US,Rancho Del Oso - Waddell Forks,California,PRESENT,2,e2e717bf-551a-4917-bdc9-4fa0f342c530,37.133789999999998,-122.267870000000002,,,,,,,7/24/09,24,7,2009,5229281,5229281,HUMAN_OBSERVATION,CLO,EBIRD,OBS73098306,,,,CC_BY_4_0,,obsr90708,,,2024-01-24T21:31:03.993Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
15,1,3924,278050544.000000000000000,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS73098307,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,Brachyramphus marmoratus,,SPECIES,"Brachyramphus marmoratus (J.F.Gmelin, 1789)",Brachyramphus marmoratus,,US,Big Basin SP - Owl WW 2,California,PRESENT,1,e2e717bf-551a-4917-bdc9-4fa0f342c530,37.137466000000003,-122.268349999999998,,,,,,,7/24/09,24,7,2009,5229281,5229281,HUMAN_OBSERVATION,CLO,EBIRD,OBS73098307,,,,CC_BY_4_0,,obsr90708,,,2024-01-24T21:31:04.019Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
16,1,5752,1901038505.000000000000000,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/16073587,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,Brachyramphus marmoratus,,SPECIES,"Brachyramphus marmoratus (J.F.Gmelin, 1789)",Brachyramphus marmoratus,,US,,California,PRESENT,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,37.141325000000002,-122.226753000000002,28447,,,,,,2018-08-30T08:47,30,8,2018,5229281,5229281,HUMAN_OBSERVATION,iNaturalist,Observations,16073587,,Robin Gwen Agarwal,2018-08-31T17:13:11,CC_BY_NC_4_0,Robin Gwen Agarwal,Robin Gwen Agarwal,,,2024-02-09T11:23:57.477Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
17,1,5643,2076935170.000000000000000,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS512745723,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,Brachyramphus marmoratus,,SPECIES,"Brachyramphus marmoratus (J.F.Gmelin, 1789)",Brachyramphus marmoratus,,US,Big Basin SP--McCrary Ridge Trail,California,PRESENT,1,e2e717bf-551a-4917-bdc9-4fa0f342c530,37.145989999999998,-122.257964999999999,,,,,,,6/20/17,20,6,2017,5229281,5229281,HUMAN_OBSERVATION,CLO,EBIRD,OBS512745723,,,,CC_BY_4_0,,obsr189374,,,2024-01-24T20:34:38.272Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
18,1,5672,2060347133.000000000000000,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS508526005,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,Brachyramphus marmoratus,,SPECIES,"Brachyramphus marmoratus (J.F.Gmelin, 1789)",Brachyramphus marmoratus,,US,Big Basin SP--McCrary Ridge Trail,California,PRESENT,1,e2e717bf-551a-4917-bdc9-4fa0f342c530,37.145989999999998,-122.257964999999999,,,,,,,6/5/17,5,6,2017,5229281,5229281,HUMAN_OBSERVATION,CLO,EBIRD,OBS508526005,,,,CC_BY_4_0,,obsr189374,,,2024-01-24T20:34:30.095Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
19,1,7207,1182264464.000000000000000,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS266014832,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,Brachyramphus marmoratus,,SPECIES,"Brachyramphus marmoratus (J.F.Gmelin, 1789)",Brachyramphus marmoratus,,US,Cascade Creek,California,PRESENT,,e2e717bf-551a-4917-bdc9-4fa0f342c530,37.148719999999997,-122.305189999999996,,,,,,,7/26/02,26,7,2002,5229281,5229281,HUMAN_OBSERVATION,CLO,EBIRD,OBS266014832,,,,CC_BY_4_0,,obsr90708,,,2024-01-24T20:27:40.464Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
20,1,308,953981294.000000000000000,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS198166759,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,Brachyramphus marmoratus,,SPECIES,"Brachyramphus marmoratus (J.F.Gmelin, 1789)",Brachyramphus marmoratus,,US,Big Basin SP - Pine Mtn Trail 2,California,PRESENT,2,e2e717bf-551a-4917-bdc9-4fa0f342c530,37.160390000000000,-122.221699999999998,,,,,,,6/29/87,29,6,1987,5229281,5229281,HUMAN_OBSERVATION,CLO,EBIRD,OBS198166759,,,,CC_BY_4_0,,obsr90708,,,2024-01-24T21:31:39.289Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
21,1,3072,3282512626.000000000000000,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS1091188092,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,Brachyramphus marmoratus,,SPECIES,"Brachyramphus marmoratus (J.F.Gmelin, 1789)",Brachyramphus marmoratus,,US,Big Basin Redwoods State Park - East Fork Waddell #2,California,PRESENT,2,e2e717bf-551a-4917-bdc9-4fa0f342c530,37.160724999999999,-122.227164999999999,,,,,,,6/10/01,10,6,2001,5229281,5229281,HUMAN_OBSERVATION,CLO,EBIRD,OBS1091188092,,,,CC_BY_4_0,,obsr1313858,,,2024-01-24T21:46:04.691Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
22,1,3264,3208219471.000000000000000,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS1091417645,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,Brachyramphus marmoratus,,SPECIES,"Brachyramphus marmoratus (J.F.Gmelin, 1789)",Brachyramphus marmoratus,,US,Big Basin Redwoods State Park - East Fork Waddell #2,California,PRESENT,3,e2e717bf-551a-4917-bdc9-4fa0f342c530,37.160724999999999,-122.227164999999999,,,,,,,6/16/01,16,6,2001,5229281,5229281,HUMAN_OBSERVATION,CLO,EBIRD,OBS1091417645,,,,CC_BY_4_0,,obsr1313858,,,2024-01-24T20:52:52.938Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
23,1,3293,3202270669.000000000000000,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS1090751433,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,Brachyramphus marmoratus,,SPECIES,"Brachyramphus marmoratus (J.F.Gmelin, 1789)",Brachyramphus marmoratus,,US,Big Basin Redwoods State Park - East Fork Waddell #1,California,PRESENT,2,e2e717bf-551a-4917-bdc9-4fa0f342c530,37.161777000000001,-122.226780000000005,,,,,,,5/27/01,27,5,2001,5229281,5229281,HUMAN_OBSERVATION,CLO,EBIRD,OBS1090751433,,,,CC_BY_4_0,,obsr1313858,,,2024-01-24T21:45:18.414Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
24,1,3903,278106365.000000000000000,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS95014851,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,Brachyramphus marmoratus,,SPECIES,"Brachyramphus marmoratus (J.F.Gmelin, 1789)",Brachyramphus marmoratus,,US,SCZ FBMP MCAB 4,California,PRESENT,5,e2e717bf-551a-4917-bdc9-4fa0f342c530,37.162894999999999,-122.230225000000004,,,,,,,6/4/03,4,6,2003,5229281,5229281,HUMAN_OBSERVATION,CLO,EBIRD,OBS95014851,,,,CC_BY_4_0,,obsr90708,,,2024-01-24T20:23:09.110Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
25,1,3904,278106364.000000000000000,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS95014260,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,Brachyramphus marmoratus,,SPECIES,"Brachyramphus marmoratus (J.F.Gmelin, 1789)",Brachyramphus marmoratus,,US,SCZ FBMP MCAB 4,California,PRESENT,5,e2e717bf-551a-4917-bdc9-4fa0f342c530,37.162894999999999,-122.230225000000004,,,,,,,6/4/03,4,6,2003,5229281,5229281,HUMAN_OBSERVATION,CLO,EBIRD,OBS95014260,,,,CC_BY_4_0,,obsr199500,,,2024-01-24T20:23:25.267Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
26,1,4016,277720573.000000000000000,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS76896669,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,Brachyramphus marmoratus,,SPECIES,"Brachyramphus marmoratus (J.F.Gmelin, 1789)",Brachyramphus marmoratus,,US,Big Basin SP - Owl BL 8,California,PRESENT,1,e2e717bf-551a-4917-bdc9-4fa0f342c530,37.163806999999998,-122.220630000000000,,,,,,,8/16/06,16,8,2006,5229281,5229281,HUMAN_OBSERVATION,CLO,EBIRD,OBS76896669,,,,CC_BY_4_0,,obsr90708,,,2024-01-24T21:06:44.995Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
27,1,3079,3281255554.000000000000000,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS1091432815,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,Brachyramphus marmoratus,,SPECIES,"Brachyramphus marmoratus (J.F.Gmelin, 1789)",Brachyramphus marmoratus,,US,Big Basin Redwoods State Park - Blooms Creek Campground,California,PRESENT,1,e2e717bf-551a-4917-bdc9-4fa0f342c530,37.164119999999997,-122.214550000000003,,,,,,,6/20/01,20,6,2001,5229281,5229281,HUMAN_OBSERVATION,CLO,EBIRD,OBS1091432815,,,,CC_BY_4_0,,obsr1313858,,,2024-01-24T20:52:53.064Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
28,1,1868,4302895735.000000000000000,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS1468560449,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,Brachyramphus marmoratus,,SPECIES,"Brachyramphus marmoratus (J.F.Gmelin, 1789)",Brachyramphus marmoratus,,US,Big Basin SP--wastewater treatment facility (no public access),California,PRESENT,1,e2e717bf-551a-4917-bdc9-4fa0f342c530,37.164124000000001,-122.228970000000004,,,,,,,6/24/22,24,6,2022,5229281,5229281,HUMAN_OBSERVATION,CLO,EBIRD,OBS1468560449,,,,CC_BY_4_0,,obsr189374,,,2024-01-24T21:02:29.611Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
29,1,4367,272517073.000000000000000,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS89678195,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,Brachyramphus marmoratus,,SPECIES,"Brachyramphus marmoratus (J.F.Gmelin, 1789)",Brachyramphus marmoratus,,US,BBS 14-319 Stop 1,California,PRESENT,3,e2e717bf-551a-4917-bdc9-4fa0f342c530,37.165059999999997,-122.227680000000007,,,,,,,5/31/97,31,5,1997,5229281,5229281,HUMAN_OBSERVATION,CLO,EBIRD,OBS89678195,,,,CC_BY_4_0,,obsr90708,,,2024-01-24T21:29:54.923Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
30,1,6234,1412235198.000000000000000,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS89675722,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,Brachyramphus marmoratus,,SPECIES,"Brachyramphus marmoratus (J.F.Gmelin, 1789)",Brachyramphus marmoratus,,US,BBS 14-319 Stop 1,California,PRESENT,2,e2e717bf-551a-4917-bdc9-4fa0f342c530,37.165059999999997,-122.227680000000007,,,,,,,5/31/01,31,5,2001,5229281,5229281,HUMAN_OBSERVATION,CLO,EBIRD,OBS89675722,,,,CC_BY_4_0,,obsr90708,,,2024-01-24T21:07:38.459Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
31,1,3899,278111788.000000000000000,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS95014265,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,Brachyramphus marmoratus,,SPECIES,"Brachyramphus marmoratus (J.F.Gmelin, 1789)",Brachyramphus marmoratus,,US,SCZ FBMP MCAB 5,California,PRESENT,7,e2e717bf-551a-4917-bdc9-4fa0f342c530,37.165309999999998,-122.232299999999995,,,,,,,6/4/03,4,6,2003,5229281,5229281,HUMAN_OBSERVATION,CLO,EBIRD,OBS95014265,,,,CC_BY_4_0,,obsr199500,,,2024-01-24T21:31:34.072Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
32,1,3911,278101987.000000000000000,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS95014856,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,Brachyramphus marmoratus,,SPECIES,"Brachyramphus marmoratus (J.F.Gmelin, 1789)",Brachyramphus marmoratus,,US,SCZ FBMP MCAB 5,California,PRESENT,7,e2e717bf-551a-4917-bdc9-4fa0f342c530,37.165309999999998,-122.232299999999995,,,,,,,6/4/03,4,6,2003,5229281,5229281,HUMAN_OBSERVATION,CLO,EBIRD,OBS95014856,,,,CC_BY_4_0,,obsr90708,,,2024-01-24T21:30:10.531Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
33,1,3919,278071604.000000000000000,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS69261664,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,Brachyramphus marmoratus,,SPECIES,"Brachyramphus marmoratus (J.F.Gmelin, 1789)",Brachyramphus marmoratus,,US,Big Basin SP - Blooms Creek MAMU station,California,PRESENT,1,e2e717bf-551a-4917-bdc9-4fa0f342c530,37.165855000000001,-122.208693999999994,,,,,,,7/3/08,3,7,2008,5229281,5229281,HUMAN_OBSERVATION,CLO,EBIRD,OBS69261664,,,,CC_BY_4_0,,obsr90708,,,2024-01-24T21:30:44.599Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
